Auftrag_ID,Datum,Kunde / Firma,Adresse Start,Adresse Ziel,Transport,Zusatztechnik,Kilometer,Kraftstoffverbrauch_Liter,Anzahl Möbelpacker,Arbeitsstunden Möbelpacker,Auftragsdauer_Stunden,Preis_EUR,Notizen
1001,2025-02-01,HafenLogistik HH,"Bergstraße 97, Wedel","Kirchenallee 1, Reinbek",eigener 7.5t LKW,Hubwagen,94,14.53,0,0.0,1.8,211.76,Hubwagen
1002,2025-02-01,Martin Schulz,"Hauptstraße 78, Pinneberg","Feldweg 104, Hamburg-Altona",eigener 7.5t LKW,,29,2.81,3,3.4,5.2,576.1,
1003,2025-02-01,Anna Becker,"Lange Reihe 53, Ahrensburg","Hafenstraße 63, Pinneberg",eigener Transporter,Gabelstapler gemietet,61,9.8,1,2.9,29.9,432.93,Mehrtagiger Auftrag (z.B. Lagerumzug / LKW manuell beladen)
1004,2025-02-02,GreenMarket GmbH,"Mühlenweg 40, Stade","Bahnhofstraße 9, Norderstedt",eigener 7.5t LKW,,87,14.73,0,0.0,1.7,201.26,
1005,2025-02-02,Nina Krause,"Kirchenallee 105, Buxtehude","Elbchaussee 50, Ahrensburg",gemieteter 12t LKW mit Fahrer,,59,7.45,2,4.1,6.1,499.29,
1006,2025-02-02,Bäckerei Nord GmbH,"Elbchaussee 33, Pinneberg","Bahnhofstraße 108, Stade",gemieteter Transporter mit Fahrer,Hubwagen,90,15.11,0,0.0,2.5,173.0,Hubwagen
1007,2025-02-02,Lena Vogt,"Hafenstraße 54, Pinneberg","Mühlenweg 84, Stade",gemieteter Transporter mit Fahrer,Möbellift,34,3.18,2,6.8,9.4,573.77,Möbellift
1008,2025-02-03,Thomas Krüger,"Hafenstraße 8, Hamburg-Harburg","Bahnhofstraße 92, Hamburg-Harburg",gemieteter 12t LKW mit Fahrer,Gabelstapler gemietet,42,4.35,0,0.0,0.9,94.81,Gabelstapler gemietet
1009,2025-02-03,HafenLogistik HH,"Feldweg 27, Pinneberg","Mühlenweg 81, Hamburg-Bergedorf",gemieteter Transporter mit Fahrer,Gabelstapler gemietet,73,7.53,0,0.0,1.8,157.82,Gabelstapler gemietet
1010,2025-02-03,Katrin Albrecht,"Elbchaussee 73, Hamburg-Wandsbek","Hauptstraße 49, Stade",gemieteter Transporter mit Fahrer,Gabelstapler gemietet,116,15.68,3,3.8,5.5,628.71,Gabelstapler gemietet
1011,2025-02-04,Lagerhaus Barmbek,"Elbchaussee 80, Wedel","Bahnhofstraße 92, Ahrensburg",gemieteter Transporter mit Fahrer,Möbellift,116,20.27,2,2.5,4.2,543.54,Möbellift
1012,2025-02-04,StartupDock Hamburg,"Mühlenweg 83, Hamburg-Nord","Hafenstraße 62, Hamburg-Harburg",eigener Transporter,,115,15.15,1,1.6,4.1,480.29,
1013,2025-02-04,Fischer & Partner Büroservice,"Elbchaussee 36, Hamburg-Eimsbüttel","Mühlenweg 46, Hamburg-Eimsbüttel",eigener 7.5t LKW,,59,10.08,2,4.4,5.1,570.74,
1014,2025-02-05,Nina Krause,"Bahnhofstraße 54, Ahrensburg","Mühlenweg 64, Hamburg-Bergedorf",eigener Transporter,Gabelstapler gemietet,77,6.98,0,0.0,1.1,152.81,Gabelstapler gemietet
1015,2025-02-05,Nina Krause,"Industriestraße 56, Norderstedt","Elbchaussee 30, Buxtehude",eigener 7.5t LKW,Hubwagen,94,10.22,1,5.5,6.0,515.44,Hubwagen
1016,2025-02-05,Katrin Albrecht,"Mühlenweg 70, Hamburg-Eimsbüttel","Industriestraße 56, Ahrensburg",gemieteter 12t LKW mit Fahrer,,56,5.21,0,0.0,2.6,149.24,
1017,2025-02-06,Sven Richter,"Bahnhofstraße 103, Ahrensburg","Bahnhofstraße 9, Wedel",gemieteter 12t LKW mit Fahrer,Möbellift,66,10.45,1,5.6,8.0,495.12,Möbellift
1018,2025-02-06,Lena Vogt,"Hafenstraße 56, Stade","Feldweg 23, Ahrensburg",gemieteter 12t LKW mit Fahrer,,47,7.19,3,8.0,8.6,776.09,
1019,2025-02-06,Katrin Albrecht,"Hauptstraße 81, Stade","Lange Reihe 120, Hamburg-Eimsbüttel",gemieteter Transporter mit Fahrer,Gabelstapler gemietet,63,9.64,0,0.0,2.9,147.75,Gabelstapler gemietet
1020,2025-02-07,Anna Becker,"Hauptstraße 68, Hamburg-Harburg","Lange Reihe 31, Buxtehude",eigener 7.5t LKW,Gabelstapler gemietet,106,15.86,2,4.0,6.9,556.41,Gabelstapler gemietet
1021,2025-02-07,Nina Krause,"Industriestraße 17, Hamburg-Bergedorf","Kirchenallee 65, Wedel",eigener 7.5t LKW,Gabelstapler gemietet,88,10.32,0,0.0,3.0,210.91,Gabelstapler gemietet
1022,2025-02-07,Julia Neumann,"Bergstraße 14, Wedel","Bergstraße 35, Buxtehude",eigener Transporter,,77,13.36,3,5.7,8.0,721.73,
1023,2025-02-08,Katrin Albrecht,"Bahnhofstraße 80, Buxtehude","Industriestraße 115, Hamburg-Eimsbüttel",gemieteter Transporter mit Fahrer,Hubwagen,13,1.39,1,7.7,8.4,504.18,Hubwagen
